target_id,method,oracle_candidate,oracle_group,selected_top1_candidate,selected_top1_group,selected_best_group,oracle_in_topk,topk_groups,unique_topk_groups,tm_like_regret,oracle_tm_like,best_of_5_tm_like
R1107,compact,casp15_R1107TS232_1,TS232,casp15_R1107TS285_3,TS285,TS125,False,"TS285,TS054,TS054,TS416,TS125","TS054,TS125,TS285,TS416",0.196728807812925,0.3176528586447821,0.120924050831857
R1107,contact,casp15_R1107TS232_1,TS232,casp15_R1107TS285_3,TS285,TS054,False,"TS285,TS125,TS125,TS054,TS416","TS054,TS125,TS285,TS416",0.1985130833032567,0.3176528586447821,0.1191397753415253
R1107,hybrid,casp15_R1107TS232_1,TS232,casp15_R1107TS285_3,TS285,TS054,False,"TS285,TS054,TS125,TS125,TS416","TS054,TS125,TS285,TS416",0.1985130833032567,0.3176528586447821,0.1191397753415253
R1107,low_clash,casp15_R1107TS232_1,TS232,casp15_R1107TS029_1,TS029,TS287,False,"TS029,TS385,TS385,TS287,TS287","TS029,TS287,TS385",0.1572951537409328,0.3176528586447821,0.1603577049038492
R1108,compact,casp15_R1108TS232_4,TS232,casp15_R1108TS385_4,TS385,TS489,False,"TS385,TS489,TS470,TS385,TS385","TS385,TS470,TS489",0.2430420215906273,0.3262421322933785,0.0832001107027511
R1108,contact,casp15_R1108TS232_4,TS232,casp15_R1108TS385_4,TS385,TS489,False,"TS385,TS489,TS470,TS128,TS128","TS128,TS385,TS470,TS489",0.2430420215906273,0.3262421322933785,0.0832001107027511
R1108,hybrid,casp15_R1108TS232_4,TS232,casp15_R1108TS385_4,TS385,TS489,False,"TS385,TS489,TS470,TS128,TS128","TS128,TS385,TS470,TS489",0.2430420215906273,0.3262421322933785,0.0832001107027511
R1108,low_clash,casp15_R1108TS232_4,TS232,casp15_R1108TS029_1,TS029,TS287,False,"TS029,TS385,TS287,TS287,TS287","TS029,TS287,TS385",0.1280374976306855,0.3262421322933785,0.198204634662693
R1116,compact,casp15_R1116TS285_5,TS285,casp15_R1116TS177_1,TS177,TS245,False,"TS177,TS385,TS245,TS245,TS385","TS177,TS245,TS385",0.0591389564797927,0.0808181859429064,0.0216792294631136
R1116,contact,casp15_R1116TS285_5,TS285,casp15_R1116TS177_1,TS177,TS238,False,"TS177,TS163,TS163,TS238,TS235","TS163,TS177,TS235,TS238",0.0278241698193949,0.0808181859429064,0.0529940161235115
